row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,MS0_NEW_POS.mzXML Peak area,MS33_NEW_POS.mzXML Peak area,MS33_OLD_POS.mzXML Peak area,MS0_OLD_POS.mzXML Peak area,MS60_NEW_POS.mzXML Peak area,MS80_NEW_POS.mzXML Peak area,MS60_OLD_POS.mzXML Peak area,P1_pos.mzXML Peak area,MS80_OLD_POS.mzXML Peak area,P5_pos.mzXML Peak area,P3_pos.mzXML Peak area,P4_pos.mzXML Peak area,P2_pos.mzXML Peak area,P6_pos.mzXML Peak area,P8_pos.mzXML Peak area,P7_pos.mzXML Peak area,P9_pos.mzXML Peak area,P23_pos.mzXML Peak area,P10_pos.mzXML Peak area,P11_pos.mzXML Peak area,P21_pos.mzXML Peak area,P25_pos.mzXML Peak area,P26_pos.mzXML Peak area,P24_pos.mzXML Peak area,P27_pos.mzXML Peak area,P28_pos.mzXML Peak area,P29_pos.mzXML Peak area,P30_pos.mzXML Peak area,E1_pos.mzXML Peak area,E2_pos.mzXML Peak area,P31_pos.mzXML Peak area,P32_pos.mzXML Peak area,E4_pos.mzXML Peak area,E5_pos.mzXML Peak area,E3_pos.mzXML Peak area,E7_pos.mzXML Peak area,E6_pos.mzXML Peak area,E8_pos.mzXML Peak area,E9_pos.mzXML Peak area,E10_pos.mzXML Peak area,E11_pos.mzXML Peak area,E12_pos.mzXML Peak area,E33_pos.mzXML Peak area,E35_pos.mzXML Peak area,E34_pos.mzXML Peak area,E37_pos.mzXML Peak area,E38_pos.mzXML Peak area,E39_pos.mzXML Peak area,E36_pos.mzXML Peak area,E43_pos.mzXML Peak area,E40_pos.mzXML Peak area,E41_pos.mzXML Peak area,E44_pos.mzXML Peak area,E42_pos.mzXML Peak area,
555,69.03428017214945,1.2091233,,,,,,,,,,,4106535.0,7295068.0,5906301.5,7795049.5,6693524.5,9041418.0,5481345.0,6.2786216E7,6510353.0,6.2070564E7,2.0807372E7,2.3947968E7,1.6205319E7,2.5480816E7,4.7025844E7,4.7279132E7,1.0397523E8,3522444.8,8.7035224E7,7.518187E7,5219822.5,5352367.0,3898341.2,6138075.0,7731571.5,9956930.0,6718316.0,5807238.5,6723080.0,1.0304184E7,1.216515E7,1.082458E7,1.6587126E7,5088614.0,7529577.5,5738038.0,8764161.0,8601714.0,3591446.0,1.1454139E7,4352918.0,2618148.2,4661033.0,3958017.2,4317047.0,7182873.0,3206877.0,6456761.5,5544007.5,6295892.0,1.0589968E7,7853519.0,7683877.0,9745292.0,
994,70.065890374452,1.216007,,,,,,,,,,,6008576.5,5913637.0,5361880.0,8134408.0,4026392.2,3369659.8,4622605.0,7866533.5,3454228.2,8203514.0,5526929.5,1.0498542E7,1.4850819E7,3932304.5,7932028.0,2233448.0,4544281.0,1154320.1,5455680.5,3815445.2,1536240.2,700059.7,636178.44,609589.5,477727.47,480964.53,458878.47,293919.62,4941688.5,3498777.2,364042.22,320586.75,3556107.8,2447954.0,3940254.2,4291246.5,4216140.0,2268669.8,2090961.2,1931991.4,1765197.0,2026800.0,1053004.4,1545611.6,1754481.0,536219.1,1073616.5,370348.06,682284.7,290696.38,369843.03,387468.44,333006.6,294155.34,
15743,71.08630588729396,17.530378,,,,,,,,,,,12726.544,49681.996,132980.69,77661.54,208056.05,149954.38,101486.31,20291.664,118393.87,4643070.0,4868396.5,92079.96,14783.384,8633098.0,12854.087,5325382.0,19558.76,4682.6646,30796.168,5207.327,21583.062,13813.016,5386822.5,5041207.0,5266582.5,3359398.8,4849793.5,76286.42,14668.915,28979.229,63530.62,71081.984,15686.819,13670.961,22236.668,20214.363,14264.319,13497.038,28163.064,28243.168,37210.5,22050.238,17522.932,18893.111,26601.559,37769.434,22959.324,22191.406,41042.824,17818.375,16550.385,25448.713,33429.113,57842.637,
2563,79.05493002191773,5.326331,,,,,,,,,,,56480.33,367517.25,639778.3,59778.695,481964.5,658161.9,1108215.9,1566788.6,1227897.4,639276.8,1952401.9,2402091.0,1403006.9,2225133.2,1344027.6,3536030.2,728284.9,152055.39,745074.9,680847.1,48690.71,460952.66,533058.4,572799.44,364549.3,493049.44,809410.1,929522.0,146651.33,156203.58,1072093.8,988322.6,121383.35,222075.69,147644.88,129589.42,131206.9,157776.66,227459.62,139726.73,283933.94,430955.56,54500.734,141318.72,58430.254,499695.28,514116.4,707964.06,479117.06,552020.9,916963.6,717532.2,790312.94,951237.25,
8783,83.04980798676708,13.0578785,,,,,,,,,,,19829.701,11080.391,34425.645,33470.406,27239.848,11894.725,40917.066,1224631.5,67803.87,1918418.0,2333336.8,1450027.0,643536.75,633175.8,1251922.0,303105.25,1423289.2,35565.906,1354105.2,950731.25,44488.246,54646.168,48507.215,41935.074,46890.44,68112.35,74893.7,49748.78,30271.396,45519.562,97615.766,40942.69,104830.734,23959.732,63835.516,23181.293,55815.184,29729.902,37749.414,78442.5,53603.027,80483.24,24841.148,75922.42,36802.6,88554.445,58410.418,28739.414,25085.014,23766.312,73575.195,27015.748,47035.324,85310.11,
1527,84.04504349540319,1.9276657,,,,,,,,,,,3797742.5,3929104.5,6098785.5,1.0082706E7,2422343.8,1743299.1,4599846.5,2.7472948E7,3278286.2,2.0359036E7,4.791716E7,4.9094664E7,4.4005224E7,6.3552468E7,4.456148E7,5.059664E7,7658404.0,1101792.5,8668937.0,1.3218961E7,2428315.0,1521527.6,151208.92,1819126.1,1128680.6,268046.7,1044600.4,358705.88,4369839.5,4952530.0,198628.81,476084.47,3979379.0,1243184.2,3177304.2,3279455.5,5567174.0,1188865.2,1443636.0,606530.94,337534.88,600418.3,632880.8,2219985.2,1996184.9,1339029.0,1791046.6,1315419.4,556341.06,542814.75,1443887.0,1224158.0,199762.5,825243.9,
1810,84.04504714441937,3.7833056,,,,,,,,,,,2602493.0,1705298.2,2758565.5,2271778.8,2486190.8,1502381.8,2060664.2,2.6371456E7,2002267.5,2.4030284E7,4.0466228E7,4.0319908E7,3.6117308E7,1.9242536E7,2.604061E7,1.6863948E7,8638402.0,795883.25,8710113.0,7687228.0,926615.5,709175.1,792036.2,596432.06,621135.7,420865.25,678883.7,288298.47,1763859.6,1943608.4,137775.27,387351.4,1366055.8,870458.5,1234401.9,1088940.8,1870944.8,491399.3,147749.06,265509.72,400733.06,315229.34,970401.44,1159089.8,1583476.6,541932.4,1414175.1,293255.34,360663.47,273278.9,366820.06,327781.4,273312.47,286855.9,
856,84.04507080360916,1.1914222,,,,,,,,,,,317523.06,493480.0,544945.7,635456.0,227473.97,513694.94,369929.25,4.818266E7,658879.44,1.93471E7,5.7787824E7,4.5775532E7,5.124501E7,7.859044E7,4.7878664E7,4.167997E7,1.356085E7,2395113.0,1.5219069E7,1.2819809E7,5257416.0,3556086.5,1598216.4,2344921.8,1222894.5,2049068.4,1405832.8,890941.75,4002214.5,4976019.0,1458016.8,834486.1,4502941.5,4190369.5,4964818.0,4667566.0,5264325.5,3662925.8,3606768.2,3117829.5,2938924.5,3053748.2,1166586.8,2588581.0,4134030.2,1735081.2,1760843.2,2567910.5,2614492.5,1005111.9,1769679.8,1993655.1,1096733.5,1289482.5,
642,85.02905253035202,1.2169207,,,,,,,,,,,1.2799064E7,1.4443419E7,1.2994003E7,1.0400225E7,1.1063631E7,1.2614348E7,1.1109993E7,3667783.2,7784096.0,3654976.5,3882072.0,3062428.0,3679717.5,5593246.0,4452561.5,4607615.0,2198627.8,2648677.0,1567343.6,2447354.2,2697761.5,2779258.5,2658821.2,2849695.5,3060072.0,3390299.0,2771015.2,3075291.8,3055562.0,2779873.2,3942659.8,3707059.5,3627355.0,4184290.5,2995712.8,3090416.5,2655140.0,4246042.0,4580505.5,4480491.0,4995151.5,4399572.0,4185038.8,5276628.0,5330881.0,4079915.0,5205925.0,4272157.5,5429104.0,4581090.0,5179880.0,4339549.0,4487571.0,5072792.5,
471,87.04468862867996,1.1842455,,,,,,,,,,,1214520.4,1463561.5,1409532.9,2050845.9,1688583.5,1727152.5,1245377.9,3137522.0,1382010.8,2780145.5,580264.75,523033.75,675126.1,1379898.2,1886897.9,5073191.5,5377193.5,226761.89,3307897.2,4571881.0,283343.94,361047.4,308977.12,337678.6,785675.1,885760.8,420231.78,257176.47,826397.7,1382372.1,1016222.25,580462.44,2833740.8,1634834.0,2083922.8,1286992.1,470245.75,2251152.0,1944169.9,2696865.5,2723763.5,2011509.2,997768.9,815710.1,392698.34,504518.0,423234.62,466666.84,932562.7,456998.9,496957.1,571038.6,383907.7,1537328.5,
2375,94.04188633948473,5.077949,,,,,,,,,,,326494.03,331877.47,974960.7,772130.1,563680.3,806557.6,1038530.94,3216171.2,1800718.8,1520110.5,3920008.5,4671279.0,3123153.2,4868437.5,2734322.2,6713668.5,1769776.5,250671.64,1201193.5,1534775.5,446347.7,697035.6,469878.38,560888.2,1086623.0,1518768.6,1510981.9,1023705.75,3005863.2,1299075.9,1851874.8,339798.66,2428641.0,2202867.2,2628907.0,2340074.2,2921724.2,1959091.2,2159232.8,1701103.1,1786834.2,1879488.0,688658.5,926726.25,928586.2,675824.56,666237.94,813219.9,636864.1,895415.44,1055446.8,858756.9,1081274.4,1170837.5,
978,97.02896565532754,1.2472275,,,,,,,,,,,1.1110232E7,1.1385865E7,1.2465514E7,1.8496044E7,1.0892126E7,9324825.0,1.091025E7,464618.53,7077557.0,1118406.4,930610.3,1073230.0,423486.8,906835.9,1064440.9,1056994.8,1185351.5,2580322.8,1375089.9,1292196.9,2255725.0,2509853.2,2639243.2,2789268.2,3277638.2,3040442.8,2783317.0,2725359.5,2607186.2,1891125.6,3133207.8,3196475.0,2384685.2,3094701.0,2234266.8,2196043.8,1692443.1,3198327.0,3383171.5,3487044.2,3594611.5,3765603.8,2680503.2,3251921.8,3211934.2,2242919.2,2839787.5,692889.4,1096068.5,2506887.0,2317712.0,2004121.6,2316431.8,2615966.0,
2117,103.05471723218513,4.7606425,,,,,,,,,,,1538239.5,1094794.4,2116786.2,3332128.0,266016.56,210211.42,1144663.9,1.5145908E7,746405.0,1.6178333E7,2.6643592E7,2.1565448E7,2.3575716E7,2.5234776E7,1.6155903E7,1.215794E7,8972431.0,705726.7,1.1393682E7,8815980.0,895002.06,322399.22,324139.9,355407.94,469183.6,419235.56,293971.9,240877.39,1.7661596E7,1.3701259E7,331012.03,317211.72,1.3365417E7,1.1405285E7,1.4583425E7,1.3532026E7,1.7630994E7,1.1564579E7,1.0006213E7,1.1883135E7,1.2274844E7,1.2396856E7,1076892.5,3328636.8,2720373.2,773131.6,2142333.2,1442327.6,1612521.1,622466.2,1285316.8,1186820.6,655642.2,839316.06,
4586,103.05473315995727,6.7279,,,,,,,,,,,1829302.5,2357572.5,1878849.1,959726.1,2400988.5,3534017.5,3731823.5,62553.7,5008232.0,42562.867,181368.97,106799.586,75710.12,88711.72,67154.16,161075.75,94089.83,20921.307,98130.766,77712.086,50281.004,68192.0,70035.6,73495.664,87342.234,137460.7,108063.41,127865.33,23003.605,15674.927,116237.18,109870.45,21950.525,17739.809,27923.484,24772.05,20907.668,13679.878,13063.95,21189.178,22955.297,28575.2,55120.84,90404.33,75621.28,69516.45,66450.63,75791.78,38456.08,65404.594,112111.195,29472.68,97169.18,173660.88,
243,103.08717028850933,1.1272401,,,,,,,,,,,6027.5635,2462.3157,2084.275,4669.8857,957.00037,695.06055,833.9783,88517.85,0,20766.934,416802.1,325654.0,673764.75,955847.44,326858.78,3996081.8,50511.582,3095.5264,20924.951,22013.35,17329.873,31687.258,12042.588,21986.771,14488.647,7123.255,23560.742,3796.287,607.84766,1226.8527,4050.119,6453.131,816.011,1391.297,1099.8234,965.3264,473.52167,285.30078,0,1283.7648,4805.1885,2316.082,872.50934,515.14484,1325.7417,414.00766,813.9692,481.01184,1556.1077,912.89636,1197.0062,2220.2505,3247.8525,474.98004,
322,104.07127804641927,1.1576464,,,,,,,,,,,708161.2,551813.94,588888.75,1461547.4,215106.5,74375.26,442613.53,1926465.1,77281.83,1513427.1,758025.0,1142099.0,2315176.8,1540433.5,2076576.8,6567458.5,2316005.2,82976.3,1532784.4,1855720.5,85595.9,185651.47,156440.69,111016.15,95315.2,180343.75,246324.05,33946.633,145659.4,564511.06,33554.266,30747.32,379071.8,315312.3,358394.0,250896.03,329510.84,284895.62,308380.2,156882.67,245318.7,270530.03,38555.902,173698.25,197043.55,41280.227,74660.38,86698.45,56020.062,21452.129,46940.633,47108.094,28178.062,30463.172,
4446,105.0339881451129,6.7723346,,,,,,,,,,,928980.0,843511.75,1158207.1,2414445.5,352740.6,272218.7,818731.5,4616.4185,652465.6,3656.148,946.4549,1585.847,751.6448,689.35535,1001.3868,705.5602,5952.7905,19474.988,6958.999,7384.7505,24367.965,8297.938,14559.063,7590.6494,13595.199,24818.193,24418.717,40021.27,38201.383,35067.645,20592.396,43821.707,26623.816,11867.226,21711.996,19321.037,34329.66,12446.049,10954.459,4726.58,7711.3,3496.1235,573880.25,610413.3,627933.7,504700.94,511908.2,297098.62,470379.88,162215.22,348256.9,346266.3,225762.47,244341.38,
3120,107.04963585113755,5.4836864,,,,,,,,,,,154232.55,1161175.8,3888050.5,594728.3,1564028.8,3891045.2,5864991.5,595408.06,7231854.5,417207.03,328489.16,382988.66,251460.38,58357.523,353446.66,129340.74,643600.8,160473.05,740338.0,1462297.6,123671.87,2108915.0,2754154.5,2761939.2,5067445.5,4975141.0,4443859.0,5201120.0,55765.758,88024.17,5220944.0,5946581.5,682921.3,1175968.6,552790.9,452382.28,86045.53,1334401.2,1190279.4,1973288.8,2386260.8,1843651.0,67963.69,138857.12,169999.9,2673985.0,2803851.5,4310556.0,2577953.2,4966020.0,4940633.0,4709191.0,6578917.5,6601454.0,
2710,109.06516325590717,5.385538,,,,,,,,,,,63215.746,967928.5,1720850.0,333002.62,1196692.1,1450818.5,6581831.5,781573.75,6945825.0,889951.44,879224.1,1094265.8,627182.7,397356.94,1732494.1,590143.25,1744334.8,486233.56,1887275.5,1674623.9,642015.0,594710.1,1700347.2,844542.8,2230244.0,1780904.4,2385621.2,2371056.5,314343.88,279946.97,2646767.8,2507686.5,815178.7,436915.88,706326.94,334308.7,362894.1,1065888.6,479112.47,992899.4,519570.53,1019554.4,1596874.8,2368654.8,1396594.2,1649845.9,1791986.1,1668170.0,1630441.6,1760207.6,2473225.8,1654170.2,2077818.2,2177483.2,
