feature_id,set_id
32,group_km_74
112,group_km_148
129,group_km_87
132,group_km_128
138,group_km_144
189,group_km_55
201,group_km_55
216,group_km_18
222,group_km_52
243,group_km_21
249,group_km_23
250,group_km_95
272,group_km_123
276,group_km_95
278,group_km_115
286,group_km_115
299,group_km_74
300,group_km_100
315,group_km_93
322,group_km_55
325,group_km_18
328,group_km_134
342,group_km_100
349,group_km_100
374,group_km_74
396,group_km_23
408,group_km_23
433,group_km_100
434,group_km_97
438,group_km_105
444,group_km_55
458,group_km_55
471,group_km_52
481,group_km_144
494,group_km_26
495,group_km_74
497,group_km_144
505,group_km_102
518,group_km_55
522,group_km_23
526,group_km_23
527,group_km_74
535,group_km_118
537,group_km_89
539,group_km_74
555,group_km_55
560,group_km_55
564,group_km_13
566,group_km_74
569,group_km_23
588,group_km_18
589,group_km_26
608,group_km_52
612,group_km_95
614,group_km_52
620,group_km_137
628,group_km_18
634,group_km_95
639,group_km_28
642,group_km_116
653,group_km_134
654,group_km_99
658,group_km_134
661,group_km_134
669,group_km_79
673,group_km_1
680,group_km_47
689,group_km_144
695,group_km_74
702,group_km_23
706,group_km_74
759,group_km_94
760,group_km_100
765,group_km_55
773,group_km_47
774,group_km_134
777,group_km_94
796,group_km_74
802,group_km_23
813,group_km_48
815,group_km_52
818,group_km_73
845,group_km_69
856,group_km_63
877,group_km_131
882,group_km_55
896,group_km_74
924,group_km_98
937,group_km_89
939,group_km_23
941,group_km_23
959,group_km_100
965,group_km_18
968,group_km_125
978,group_km_55
983,group_km_131
984,group_km_55
994,group_km_55
996,group_km_131
1005,group_km_131
1006,group_km_86
1016,group_km_21
1017,group_km_55
1054,group_km_48
1062,group_km_52
1066,group_km_37
1069,group_km_52
1073,group_km_48
1078,group_km_94
1083,group_km_137
1084,group_km_125
1092,group_km_52
1095,group_km_52
1103,group_km_52
1113,group_km_81
1138,group_km_2
1164,group_km_120
1171,group_km_118
1177,group_km_74
1182,group_km_48
1198,group_km_13
1201,group_km_137
1203,group_km_81
1212,group_km_89
1236,group_km_18
1247,group_km_89
1260,group_km_48
1309,group_km_123
1310,group_km_42
1318,group_km_89
1324,group_km_13
1325,group_km_55
1333,group_km_55
1339,group_km_94
1355,group_km_74
1366,group_km_80
1381,group_km_105
1400,group_km_147
1412,group_km_118
1433,group_km_28
1442,group_km_43
1448,group_km_118
1489,group_km_48
1492,group_km_52
1504,group_km_81
1517,group_km_81
1518,group_km_74
1527,group_km_63
1531,group_km_13
1535,group_km_81
1586,group_km_55
1588,group_km_120
1601,group_km_18
1604,group_km_120
1609,group_km_98
1624,group_km_100
1640,group_km_52
1641,group_km_74
1681,group_km_94
1702,group_km_89
1704,group_km_142
1705,group_km_63
1707,group_km_62
1709,group_km_118
1711,group_km_43
1716,group_km_131
1717,group_km_21
1763,group_km_37
1775,group_km_81
1791,group_km_137
1803,group_km_128
1808,group_km_137
1810,group_km_63
1811,group_km_74
1840,group_km_55
1846,group_km_55
1876,group_km_6
1899,group_km_48
1909,group_km_52
1919,group_km_53
1966,group_km_81
1977,group_km_105
1982,group_km_21
2000,group_km_134
2008,group_km_48
2019,group_km_144
2020,group_km_55
2021,group_km_73
2046,group_km_81
2047,group_km_73
2056,group_km_2
2063,group_km_73
