feature_id,set_id
32,group_km_368
112,group_km_344
129,group_km_584
132,group_km_352
138,group_km_521
189,group_km_73
201,group_km_73
216,group_km_271
222,group_km_780
243,group_km_109
249,group_km_111
250,group_km_702
272,group_km_9
276,group_km_702
278,group_km_381
286,group_km_564
299,group_km_639
300,group_km_35
315,group_km_0
322,group_km_333
325,group_km_277
328,group_km_499
342,group_km_554
349,group_km_35
374,group_km_766
396,group_km_162
408,group_km_764
433,group_km_554
434,group_km_406
438,group_km_722
444,group_km_73
458,group_km_73
471,group_km_622
481,group_km_465
494,group_km_217
495,group_km_723
497,group_km_703
505,group_km_384
518,group_km_238
522,group_km_298
526,group_km_764
527,group_km_521
535,group_km_661
537,group_km_610
539,group_km_766
555,group_km_73
560,group_km_310
564,group_km_520
566,group_km_766
569,group_km_78
588,group_km_277
589,group_km_378
608,group_km_377
614,group_km_384
620,group_km_336
628,group_km_277
634,group_km_713
639,group_km_421
642,group_km_310
653,group_km_499
654,group_km_745
658,group_km_499
661,group_km_499
669,group_km_567
673,group_km_476
680,group_km_666
689,group_km_300
695,group_km_478
702,group_km_562
706,group_km_766
759,group_km_333
760,group_km_554
765,group_km_562
773,group_km_666
777,group_km_541
796,group_km_766
802,group_km_34
813,group_km_238
815,group_km_622
818,group_km_629
845,group_km_90
856,group_km_325
877,group_km_121
882,group_km_77
896,group_km_519
924,group_km_135
937,group_km_738
939,group_km_562
941,group_km_602
959,group_km_468
965,group_km_487
968,group_km_24
978,group_km_310
983,group_km_121
984,group_km_461
994,group_km_73
996,group_km_121
1005,group_km_121
1006,group_km_699
1016,group_km_304
1017,group_km_229
1054,group_km_238
1062,group_km_592
1066,group_km_156
1069,group_km_160
1073,group_km_91
1083,group_km_104
1084,group_km_31
1092,group_km_238
1095,group_km_461
1103,group_km_592
1113,group_km_434
1138,group_km_240
1164,group_km_567
1171,group_km_706
1177,group_km_110
1182,group_km_91
1198,group_km_51
1201,group_km_104
1203,group_km_545
1212,group_km_610
1236,group_km_625
1247,group_km_738
1260,group_km_592
1309,group_km_20
1310,group_km_364
1318,group_km_738
1324,group_km_292
1325,group_km_104
1333,group_km_246
1339,group_km_461
1355,group_km_766
1366,group_km_751
1381,group_km_323
1400,group_km_114
1412,group_km_661
1433,group_km_421
1442,group_km_319
1448,group_km_150
1489,group_km_91
1492,group_km_691
1504,group_km_434
1517,group_km_545
1518,group_km_766
1527,group_km_325
1531,group_km_51
1535,group_km_567
1586,group_km_545
