feature_id,set_id
32,group_km_153
112,group_km_217
129,group_km_212
132,group_km_186
138,group_km_234
189,group_km_224
201,group_km_249
216,group_km_235
222,group_km_179
243,group_km_233
249,group_km_16
250,group_km_215
272,group_km_234
276,group_km_215
278,group_km_247
286,group_km_247
299,group_km_153
300,group_km_35
315,group_km_74
322,group_km_35
325,group_km_117
328,group_km_161
342,group_km_32
349,group_km_247
374,group_km_229
396,group_km_234
408,group_km_97
433,group_km_32
434,group_km_248
438,group_km_174
444,group_km_145
458,group_km_61
471,group_km_95
481,group_km_111
494,group_km_248
495,group_km_127
497,group_km_178
505,group_km_95
518,group_km_129
522,group_km_217
526,group_km_178
527,group_km_178
535,group_km_104
537,group_km_197
539,group_km_229
555,group_km_223
560,group_km_96
564,group_km_127
566,group_km_229
569,group_km_223
588,group_km_117
589,group_km_115
608,group_km_149
614,group_km_95
620,group_km_213
628,group_km_117
634,group_km_163
639,group_km_0
642,group_km_223
653,group_km_180
654,group_km_39
658,group_km_180
661,group_km_180
669,group_km_206
673,group_km_223
680,group_km_180
689,group_km_234
695,group_km_234
702,group_km_211
706,group_km_229
759,group_km_118
760,group_km_32
765,group_km_178
773,group_km_228
777,group_km_146
796,group_km_229
802,group_km_34
813,group_km_107
815,group_km_150
818,group_km_29
845,group_km_90
856,group_km_4
877,group_km_121
882,group_km_24
896,group_km_153
924,group_km_135
937,group_km_16
939,group_km_111
941,group_km_178
959,group_km_247
965,group_km_29
968,group_km_24
978,group_km_223
983,group_km_227
984,group_km_7
994,group_km_178
996,group_km_111
1005,group_km_234
1006,group_km_157
1016,group_km_153
1017,group_km_184
1054,group_km_107
1062,group_km_162
1066,group_km_107
1069,group_km_186
1073,group_km_91
1083,group_km_213
1084,group_km_128
1092,group_km_162
1095,group_km_131
1103,group_km_162
1113,group_km_21
1138,group_km_80
1164,group_km_24
1171,group_km_84
1177,group_km_121
1182,group_km_213
1198,group_km_127
1201,group_km_138
1203,group_km_150
1212,group_km_197
1236,group_km_84
1247,group_km_16
1260,group_km_162
1309,group_km_178
1310,group_km_240
1318,group_km_16
1324,group_km_121
1325,group_km_118
1333,group_km_150
1339,group_km_162
1355,group_km_229
1366,group_km_116
1381,group_km_121
1400,group_km_248
1412,group_km_104
1433,group_km_0
1442,group_km_113
1448,group_km_206
1489,group_km_91
1492,group_km_35
1504,group_km_21
1517,group_km_150
1518,group_km_229
1527,group_km_4
1531,group_km_127
1535,group_km_168
1586,group_km_162
1588,group_km_24
1601,group_km_84
1604,group_km_24
1609,group_km_135
1624,group_km_247
1640,group_km_91
1641,group_km_153
1702,group_km_16
1704,group_km_159
1705,group_km_159
1707,group_km_74
1709,group_km_104
1711,group_km_113
1716,group_km_121
1717,group_km_149
1763,group_km_240
1775,group_km_150
1791,group_km_213
1803,group_km_118
1808,group_km_213
1810,group_km_4
1811,group_km_4
1840,group_km_168
1846,group_km_184
1876,group_km_24
1899,group_km_162
1909,group_km_21
1966,group_km_47
1982,group_km_186
2000,group_km_180
2008,group_km_107
2019,group_km_187
2020,group_km_64
2021,group_km_129
2046,group_km_131
2047,group_km_129
2056,group_km_233
2063,group_km_104
2077,group_km_45
2091,group_km_64
2102,group_km_128
2117,group_km_104
2127,group_km_16
2139,group_km_206
2146,group_km_178
2150,group_km_180
2153,group_km_45
2168,group_km_107
2174,group_km_111
2176,group_km_150
2186,group_km_136
2197,group_km_107
2201,group_km_246
2220,group_km_121
2226,group_km_111
2262,group_km_174
2264,group_km_162
2280,group_km_137
2281,group_km_7
2285,group_km_129
2372,group_km_129
2375,group_km_74
2414,group_km_106
2436,group_km_47
2450,group_km_44
2483,group_km_90
2484,group_km_111
2492,group_km_121
2500,group_km_39
2530,group_km_137
2531,group_km_136
2538,group_km_74
2539,group_km_174
2547,group_km_65
2557,group_km_233
2562,group_km_94
2563,group_km_74
2567,group_km_181
2569,group_km_153
2577,group_km_240
2593,group_km_136
2594,group_km_75
2596,group_km_161
2608,group_km_242
2612,group_km_237
2614,group_km_7
2627,group_km_197
2635,group_km_180
2642,group_km_11
2643,group_km_43
2646,group_km_107
2673,group_km_38
2690,group_km_128
2693,group_km_84
2694,group_km_31
2698,group_km_201
2699,group_km_188
2709,group_km_206
2710,group_km_206
2725,group_km_137
2728,group_km_201
2735,group_km_107
2738,group_km_64
2749,group_km_92
2767,group_km_184
2775,group_km_7
2778,group_km_178
2786,group_km_26
2790,group_km_29
2798,group_km_97
2799,group_km_236
2800,group_km_213
2803,group_km_118
2814,group_km_187
2832,group_km_162
2858,group_km_6
2899,group_km_65
2906,group_km_16
2909,group_km_37
2916,group_km_23
2922,group_km_37
2925,group_km_37
2945,group_km_44
2958,group_km_87
2971,group_km_37
3012,group_km_116
3019,group_km_237
3025,group_km_146
3043,group_km_7
3080,group_km_119
3083,group_km_74
3103,group_km_129
3120,group_km_86
3127,group_km_18
3132,group_km_6
3139,group_km_65
3143,group_km_184
3157,group_km_146
3169,group_km_109
3198,group_km_129
3211,group_km_203
3219,group_km_227
3241,group_km_203
3244,group_km_129
3245,group_km_56
3249,group_km_18
3267,group_km_28
3274,group_km_203
3279,group_km_135
3288,group_km_12
3289,group_km_212
3293,group_km_3
3306,group_km_249
3330,group_km_84
3331,group_km_203
3361,group_km_137
3363,group_km_26
3370,group_km_22
3380,group_km_84
3382,group_km_21
3388,group_km_194
3401,group_km_203
3407,group_km_162
3408,group_km_34
3464,group_km_44
3471,group_km_65
3473,group_km_109
3486,group_km_141
3496,group_km_27
3527,group_km_162
3544,group_km_185
3548,group_km_64
3553,group_km_237
3557,group_km_80
3561,group_km_137
3567,group_km_92
3599,group_km_74
3605,group_km_159
3613,group_km_75
3619,group_km_90
3639,group_km_96
3659,group_km_137
3663,group_km_80
3667,group_km_111
3687,group_km_75
3702,group_km_47
3704,group_km_181
3715,group_km_47
3725,group_km_188
3758,group_km_109
3779,group_km_22
3798,group_km_181
3803,group_km_206
3824,group_km_22
3828,group_km_159
3850,group_km_5
3871,group_km_206
3876,group_km_27
3903,group_km_141
3913,group_km_60
3916,group_km_140
3945,group_km_137
3946,group_km_129
3956,group_km_94
3985,group_km_94
3990,group_km_75
3995,group_km_203
4001,group_km_137
4010,group_km_7
4028,group_km_166
4034,group_km_90
4049,group_km_50
4051,group_km_31
4058,group_km_26
4074,group_km_231
4079,group_km_192
4088,group_km_109
4100,group_km_240
4103,group_km_199
4107,group_km_107
4136,group_km_28
4139,group_km_79
4170,group_km_227
4173,group_km_16
4182,group_km_203
4208,group_km_45
4232,group_km_39
4237,group_km_203
4245,group_km_137
4272,group_km_164
4288,group_km_201
4308,group_km_137
4317,group_km_141
4326,group_km_249
4328,group_km_181
4329,group_km_201
4341,group_km_28
4361,group_km_100
4368,group_km_108
4377,group_km_109
4384,group_km_22
4414,group_km_129
4419,group_km_104
4423,group_km_129
4430,group_km_14
4446,group_km_74
4451,group_km_201
4475,group_km_236
4484,group_km_14
4490,group_km_162
4517,group_km_115
4518,group_km_107
4520,group_km_236
4543,group_km_166
4553,group_km_64
4569,group_km_40
4570,group_km_129
4586,group_km_104
4619,group_km_237
4644,group_km_135
4656,group_km_134
4671,group_km_125
4702,group_km_21
4708,group_km_199
4729,group_km_12
4738,group_km_111
4741,group_km_28
4795,group_km_137
4796,group_km_231
4803,group_km_78
4830,group_km_75
4837,group_km_31
4863,group_km_166
4876,group_km_129
4915,group_km_26
4932,group_km_79
4938,group_km_26
4951,group_km_135
4957,group_km_104
4980,group_km_129
4990,group_km_203
5005,group_km_172
5050,group_km_206
5055,group_km_249
5063,group_km_231
5067,group_km_26
5074,group_km_28
5079,group_km_237
5085,group_km_108
5133,group_km_131
5163,group_km_227
5176,group_km_184
5185,group_km_97
5190,group_km_22
5194,group_km_237
5219,group_km_227
5222,group_km_75
5255,group_km_31
5268,group_km_137
5347,group_km_19
5424,group_km_104
5454,group_km_129
5459,group_km_104
5464,group_km_28
5466,group_km_38
5471,group_km_26
5473,group_km_18
5474,group_km_18
5476,group_km_94
5477,group_km_56
5479,group_km_105
5519,group_km_248
5551,group_km_28
5561,group_km_75
5572,group_km_103
5582,group_km_50
5597,group_km_3
5613,group_km_3
5618,group_km_17
5619,group_km_125
5626,group_km_75
5632,group_km_201
5654,group_km_107
5659,group_km_31
5669,group_km_38
5670,group_km_109
5704,group_km_135
5711,group_km_125
5729,group_km_179
5806,group_km_38
5807,group_km_38
5818,group_km_12
5875,group_km_39
5877,group_km_121
5878,group_km_12
5894,group_km_18
5903,group_km_12
5925,group_km_22
5929,group_km_249
5938,group_km_96
5942,group_km_38
5944,group_km_74
5954,group_km_200
5955,group_km_86
5969,group_km_212
5975,group_km_160
5976,group_km_33
5986,group_km_136
5992,group_km_75
6006,group_km_30
6008,group_km_36
6021,group_km_237
6052,group_km_97
6072,group_km_38
