filename	SampleType	SampleType1	ATTRIBUTE_ Percent of OMSW  in MS	Species	ATTRIBUTE_ Taxonomy	NCBITaxonomy	Sample Collection	Sample Extract	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase
MS0_NEW_POS.mzXML	BLANK_MS	Mushroom Substrate	0	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002661	electrospray ionization (Positive)	reverse phase (C18)
MS0_OLD_POS.mzXML	BLANK_MS	Mushroom Substrate	0	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002662	electrospray ionization (Positive)	reverse phase (C18)
MS33_NEW_POS.mzXML	BLANK_MS	Mushroom Substrate	33	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002663	electrospray ionization (Positive)	reverse phase (C18)
MS33_OLD_POS.mzXML	BLANK_MS	Mushroom Substrate	33	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002664	electrospray ionization (Positive)	reverse phase (C18)
MS60_NEW_POS.mzXML	BLANK_MS	Mushroom Substrate	60	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002665	electrospray ionization (Positive)	reverse phase (C18)
MS60_OLD_POS.mzXML	BLANK_MS	Mushroom Substrate	60	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002666	electrospray ionization (Positive)	reverse phase (C18)
MS80_NEW_POS.mzXML	BLANK_MS	Mushroom Substrate	80	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002667	electrospray ionization (Positive)	reverse phase (C18)
MS80_OLD_POS.mzXML	BLANK_MS	Mushroom Substrate	80	Fungi	MS	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002668	electrospray ionization (Positive)	reverse phase (C18)
P1_pos.mzXML	SAMPLE	Mushroom Fruit Body	60	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002665	electrospray ionization (Positive)	reverse phase (C18)
P2_pos.mzXML	SAMPLE	Mushroom Fruit Body	33	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002666	electrospray ionization (Positive)	reverse phase (C18)
P3_pos.mzXML	SAMPLE	Mushroom Fruit Body	33	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002667	electrospray ionization (Positive)	reverse phase (C18)
P4_pos.mzXML	SAMPLE	Mushroom Fruit Body	33	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002668	electrospray ionization (Positive)	reverse phase (C18)
P5_pos.mzXML	SAMPLE	Mushroom Fruit Body	60	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002669	electrospray ionization (Positive)	reverse phase (C18)
P6_pos.mzXML	SAMPLE	Mushroom Fruit Body	0	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002670	electrospray ionization (Positive)	reverse phase (C18)
P7_pos.mzXML	SAMPLE	Mushroom Fruit Body	0	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002671	electrospray ionization (Positive)	reverse phase (C18)
P8_pos.mzXML	SAMPLE	Mushroom Fruit Body	60	Fungi	FB_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002672	electrospray ionization (Positive)	reverse phase (C18)
