feature_id,set_id
32,group_km_56
112,group_km_27
132,group_km_48
138,group_km_37
189,group_km_27
201,group_km_27
216,group_km_50
222,group_km_27
243,group_km_76
249,group_km_94
272,group_km_37
276,group_km_47
278,group_km_55
299,group_km_56
300,group_km_55
315,group_km_7
322,group_km_27
325,group_km_50
328,group_km_0
342,group_km_55
396,group_km_18
408,group_km_27
433,group_km_55
434,group_km_94
438,group_km_48
444,group_km_27
471,group_km_27
481,group_km_37
494,group_km_84
495,group_km_56
497,group_km_37
505,group_km_50
518,group_km_27
522,group_km_94
526,group_km_27
527,group_km_56
535,group_km_12
537,group_km_77
539,group_km_56
560,group_km_48
564,group_km_18
566,group_km_56
569,group_km_48
588,group_km_0
589,group_km_84
612,group_km_47
614,group_km_50
620,group_km_82
628,group_km_50
634,group_km_98
639,group_km_88
642,group_km_91
653,group_km_0
658,group_km_0
661,group_km_0
669,group_km_35
673,group_km_83
680,group_km_46
689,group_km_37
695,group_km_56
702,group_km_27
706,group_km_56
759,group_km_13
760,group_km_55
765,group_km_27
773,group_km_46
774,group_km_0
777,group_km_13
796,group_km_56
802,group_km_35
813,group_km_98
815,group_km_27
818,group_km_47
845,group_km_48
856,group_km_89
877,group_km_98
882,group_km_48
896,group_km_56
924,group_km_44
937,group_km_77
939,group_km_27
941,group_km_12
959,group_km_55
965,group_km_91
968,group_km_34
978,group_km_27
983,group_km_27
984,group_km_27
994,group_km_27
996,group_km_27
1005,group_km_47
1006,group_km_1
1016,group_km_76
1017,group_km_27
1054,group_km_98
1062,group_km_47
1066,group_km_41
1069,group_km_48
1073,group_km_98
1078,group_km_13
1083,group_km_82
1084,group_km_34
1092,group_km_47
1095,group_km_47
1103,group_km_47
1113,group_km_20
1138,group_km_59
1164,group_km_35
1171,group_km_44
1177,group_km_56
1182,group_km_98
1198,group_km_18
1201,group_km_82
1203,group_km_27
1212,group_km_77
1236,group_km_84
1247,group_km_77
1260,group_km_47
1309,group_km_56
1310,group_km_44
1318,group_km_77
1324,group_km_18
1325,group_km_27
1333,group_km_47
1339,group_km_13
1355,group_km_56
1366,group_km_80
1381,group_km_0
1400,group_km_56
1412,group_km_12
1433,group_km_88
1442,group_km_81
1448,group_km_92
1489,group_km_98
1492,group_km_91
1504,group_km_20
1517,group_km_27
1518,group_km_56
1527,group_km_89
1531,group_km_18
1535,group_km_27
1586,group_km_27
1588,group_km_67
1601,group_km_84
1604,group_km_35
1609,group_km_44
1624,group_km_55
1640,group_km_27
1641,group_km_56
1681,group_km_13
1702,group_km_77
1704,group_km_14
1705,group_km_57
1707,group_km_92
1709,group_km_12
1711,group_km_81
1716,group_km_98
1763,group_km_41
1775,group_km_98
1791,group_km_82
1803,group_km_27
1808,group_km_82
1811,group_km_56
1840,group_km_27
1876,group_km_99
1899,group_km_98
1909,group_km_47
1919,group_km_0
1966,group_km_20
1977,group_km_71
1982,group_km_76
2000,group_km_0
2008,group_km_98
2019,group_km_37
2020,group_km_27
2021,group_km_48
2046,group_km_20
2047,group_km_35
2056,group_km_59
2063,group_km_9
2077,group_km_55
2091,group_km_27
2100,group_km_71
2102,group_km_56
2117,group_km_9
2127,group_km_77
2139,group_km_56
2146,group_km_18
2150,group_km_35
2153,group_km_34
2168,group_km_34
2174,group_km_37
2176,group_km_27
2186,group_km_13
2197,group_km_84
2201,group_km_27
2220,group_km_44
2226,group_km_56
2247,group_km_41
2262,group_km_98
2264,group_km_34
2280,group_km_17
2281,group_km_98
2285,group_km_17
2372,group_km_88
2375,group_km_9
2414,group_km_45
2436,group_km_47
2440,group_km_37
2450,group_km_31
2483,group_km_66
2484,group_km_37
2492,group_km_27
2500,group_km_76
2530,group_km_81
2531,group_km_48
2538,group_km_11
2539,group_km_98
2547,group_km_18
2557,group_km_91
2562,group_km_41
2563,group_km_9
2567,group_km_92
2569,group_km_35
2577,group_km_9
2593,group_km_82
2594,group_km_66
2596,group_km_14
2608,group_km_35
2612,group_km_5
2614,group_km_13
2627,group_km_77
2635,group_km_62
2636,group_km_20
2643,group_km_27
2646,group_km_98
2673,group_km_37
2683,group_km_45
2684,group_km_9
2688,group_km_92
2690,group_km_90
2693,group_km_48
2694,group_km_12
2698,group_km_81
2699,group_km_32
2709,group_km_9
2710,group_km_89
2725,group_km_66
2728,group_km_81
2735,group_km_18
2738,group_km_27
2749,group_km_27
2750,group_km_37
2775,group_km_13
2778,group_km_59
2786,group_km_66
2790,group_km_91
2798,group_km_5
2799,group_km_50
2800,group_km_2
2803,group_km_27
2814,group_km_98
2832,group_km_27
2858,group_km_47
2890,group_km_18
2899,group_km_37
2906,group_km_77
2909,group_km_88
2916,group_km_48
2922,group_km_27
2925,group_km_12
2944,group_km_27
2945,group_km_77
2958,group_km_13
2971,group_km_12
3012,group_km_0
3013,group_km_27
3019,group_km_75
3025,group_km_20
3043,group_km_13
3051,group_km_45
3064,group_km_99
3080,group_km_89
3083,group_km_92
3103,group_km_3
3113,group_km_27
3120,group_km_9
3124,group_km_53
3127,group_km_3
3132,group_km_92
3153,group_km_20
3157,group_km_27
3169,group_km_10
3198,group_km_92
3211,group_km_3
3219,group_km_18
3241,group_km_17
3244,group_km_9
3245,group_km_27
3249,group_km_17
3267,group_km_66
3274,group_km_17
3279,group_km_90
3288,group_km_81
3289,group_km_45
3293,group_km_86
3306,group_km_27
3330,group_km_13
3331,group_km_17
3361,group_km_66
3363,group_km_81
3370,group_km_42
3380,group_km_48
3382,group_km_20
3388,group_km_27
3401,group_km_85
3407,group_km_98
3408,group_km_35
3464,group_km_45
3471,group_km_18
3473,group_km_10
3486,group_km_27
3496,group_km_26
3504,group_km_20
3508,group_km_99
3527,group_km_34
3548,group_km_9
3550,group_km_84
3553,group_km_9
3557,group_km_5
3561,group_km_85
3567,group_km_24
3599,group_km_9
3602,group_km_9
3605,group_km_5
3606,group_km_28
3609,group_km_9
3613,group_km_3
3619,group_km_71
3639,group_km_27
3659,group_km_66
3663,group_km_5
3682,group_km_13
3687,group_km_95
3702,group_km_20
3704,group_km_66
3715,group_km_20
3725,group_km_9
3731,group_km_31
3733,group_km_9
3758,group_km_10
3779,group_km_42
3798,group_km_66
3803,group_km_56
3824,group_km_3
3826,group_km_18
3828,group_km_14
3850,group_km_71
3871,group_km_9
3876,group_km_56
3903,group_km_13
3913,group_km_63
3916,group_km_95
3945,group_km_66
3946,group_km_88
3956,group_km_66
3985,group_km_41
3990,group_km_3
3995,group_km_5
3998,group_km_34
4001,group_km_66
4010,group_km_13
4028,group_km_48
4034,group_km_75
4049,group_km_27
4051,group_km_9
4055,group_km_13
4058,group_km_81
4066,group_km_27
4074,group_km_75
4076,group_km_27
4079,group_km_27
4088,group_km_10
4100,group_km_9
4103,group_km_75
4107,group_km_48
4125,group_km_5
4136,group_km_75
4139,group_km_78
4170,group_km_56
4173,group_km_77
4182,group_km_85
4208,group_km_98
4232,group_km_56
4233,group_km_44
4237,group_km_85
4245,group_km_81
4248,group_km_18
4264,group_km_19
4265,group_km_19
4272,group_km_27
4288,group_km_81
4308,group_km_3
4317,group_km_84
4326,group_km_14
4328,group_km_3
4329,group_km_81
4341,group_km_91
4361,group_km_75
4364,group_km_81
4368,group_km_63
4377,group_km_10
4384,group_km_42
4392,group_km_8
4395,group_km_77
4414,group_km_57
4419,group_km_5
4423,group_km_92
4430,group_km_48
4446,group_km_92
4451,group_km_81
4475,group_km_5
4484,group_km_93
4490,group_km_63
4517,group_km_92
4518,group_km_27
4520,group_km_5
4529,group_km_31
4533,group_km_5
4536,group_km_35
4539,group_km_53
4542,group_km_9
4543,group_km_48
4553,group_km_20
4555,group_km_5
4569,group_km_27
4570,group_km_92
4581,group_km_75
4586,group_km_9
4619,group_km_9
4623,group_km_67
4644,group_km_20
4656,group_km_32
4671,group_km_5
4678,group_km_27
4691,group_km_89
4702,group_km_20
4708,group_km_95
4723,group_km_34
4729,group_km_63
4738,group_km_18
4741,group_km_75
4795,group_km_66
4796,group_km_75
4803,group_km_66
4804,group_km_27
4830,group_km_95
4837,group_km_9
4863,group_km_27
4876,group_km_17
4880,group_km_56
4886,group_km_75
4915,group_km_3
4932,group_km_78
4938,group_km_17
4951,group_km_90
4957,group_km_9
4958,group_km_34
4980,group_km_9
4988,group_km_31
4990,group_km_81
5005,group_km_30
5050,group_km_95
5052,group_km_13
5055,group_km_14
5063,group_km_75
5067,group_km_12
5074,group_km_75
5078,group_km_13
5079,group_km_45
5082,group_km_48
5085,group_km_44
5092,group_km_34
5133,group_km_35
5134,group_km_18
5163,group_km_18
5164,group_km_12
5168,group_km_13
5172,group_km_48
5190,group_km_92
5194,group_km_85
5216,group_km_34
5217,group_km_31
5219,group_km_18
5222,group_km_92
5255,group_km_9
5268,group_km_3
5274,group_km_5
5276,group_km_67
5287,group_km_27
5316,group_km_9
5341,group_km_67
5347,group_km_9
5374,group_km_48
5379,group_km_11
5392,group_km_2
5410,group_km_84
5424,group_km_5
5448,group_km_99
5454,group_km_17
5459,group_km_92
5464,group_km_91
5466,group_km_10
5471,group_km_17
5473,group_km_3
5474,group_km_17
5476,group_km_92
5477,group_km_27
5479,group_km_92
5493,group_km_27
5508,group_km_99
5509,group_km_11
5511,group_km_16
5512,group_km_11
5513,group_km_2
5514,group_km_82
5519,group_km_27
5533,group_km_67
5547,group_km_82
5551,group_km_24
5555,group_km_2
5556,group_km_13
5561,group_km_57
5572,group_km_83
5575,group_km_93
5582,group_km_57
5586,group_km_4
5590,group_km_27
5597,group_km_75
5609,group_km_18
5613,group_km_75
5615,group_km_13
5618,group_km_6
5619,group_km_89
5621,group_km_93
5622,group_km_48
5626,group_km_3
5632,group_km_44
5654,group_km_48
5659,group_km_9
5669,group_km_10
5670,group_km_10
5688,group_km_63
5711,group_km_5
5717,group_km_85
5723,group_km_56
5724,group_km_31
5729,group_km_27
5732,group_km_88
5748,group_km_31
5756,group_km_86
5765,group_km_9
5778,group_km_13
5783,group_km_79
5798,group_km_82
5806,group_km_10
5807,group_km_10
5817,group_km_27
5818,group_km_32
5821,group_km_82
5825,group_km_3
5834,group_km_16
5861,group_km_13
5875,group_km_2
5877,group_km_94
5878,group_km_66
5880,group_km_9
5886,group_km_81
5894,group_km_85
5903,group_km_69
5909,group_km_41
5912,group_km_32
5913,group_km_17
5925,group_km_92
5927,group_km_82
5929,group_km_14
5938,group_km_27
5942,group_km_10
5944,group_km_92
5954,group_km_57
5955,group_km_84
5969,group_km_62
5975,group_km_51
5976,group_km_48
5986,group_km_27
5992,group_km_78
6006,group_km_32
6008,group_km_27
6014,group_km_19
6015,group_km_19
6021,group_km_92
6052,group_km_10
6066,group_km_31
6072,group_km_10
6090,group_km_92
6111,group_km_12
6114,group_km_93
6122,group_km_27
6132,group_km_90
6138,group_km_31
6139,group_km_14
6152,group_km_31
6159,group_km_93
6166,group_km_93
6170,group_km_63
6178,group_km_48
6179,group_km_93
6183,group_km_1
6186,group_km_48
6189,group_km_95
6192,group_km_66
6207,group_km_13
6222,group_km_31
6230,group_km_27
6240,group_km_10
6241,group_km_9
6246,group_km_81
6308,group_km_16
6321,group_km_66
6335,group_km_48
6355,group_km_31
6361,group_km_77
6369,group_km_86
6377,group_km_3
6380,group_km_75
6401,group_km_44
6406,group_km_14
6407,group_km_63
6408,group_km_90
6418,group_km_2
6433,group_km_44
6437,group_km_31
6453,group_km_31
6463,group_km_89
6467,group_km_75
6470,group_km_32
6490,group_km_17
6497,group_km_4
6533,group_km_7
6558,group_km_38
6560,group_km_38
6593,group_km_9
6608,group_km_67
6609,group_km_91
6625,group_km_7
6627,group_km_35
6643,group_km_38
6647,group_km_9
6661,group_km_67
6662,group_km_95
6663,group_km_26
6667,group_km_3
6676,group_km_26
6682,group_km_3
6683,group_km_9
6688,group_km_3
6709,group_km_81
6715,group_km_26
6729,group_km_14
6740,group_km_9
6750,group_km_63
6755,group_km_20
6759,group_km_3
6763,group_km_75
6776,group_km_77
6777,group_km_59
6799,group_km_95
6827,group_km_47
6839,group_km_67
6852,group_km_71
6856,group_km_35
6863,group_km_47
6868,group_km_9
6870,group_km_99
6879,group_km_91
6882,group_km_11
6884,group_km_35
6896,group_km_82
6912,group_km_85
6914,group_km_16
6937,group_km_27
6961,group_km_27
6976,group_km_6
6987,group_km_75
6992,group_km_16
6993,group_km_19
7005,group_km_67
7008,group_km_27
7009,group_km_63
7011,group_km_27
7015,group_km_38
7018,group_km_63
7024,group_km_78
7047,group_km_27
7055,group_km_95
7059,group_km_89
7070,group_km_2
7088,group_km_59
7089,group_km_5
7097,group_km_43
7129,group_km_66
7130,group_km_27
7133,group_km_27
7139,group_km_95
7147,group_km_57
7150,group_km_13
7156,group_km_35
7162,group_km_75
7173,group_km_48
7174,group_km_9
7187,group_km_27
7199,group_km_27
7203,group_km_19
7216,group_km_46
7217,group_km_0
7219,group_km_0
7220,group_km_35
7227,group_km_67
7240,group_km_5
7251,group_km_6
7254,group_km_75
7256,group_km_27
7258,group_km_20
7293,group_km_27
7304,group_km_79
7316,group_km_19
7317,group_km_19
7321,group_km_63
7341,group_km_90
7346,group_km_8
7349,group_km_27
7357,group_km_35
7362,group_km_8
7369,group_km_7
7383,group_km_75
7406,group_km_18
7421,group_km_38
7436,group_km_63
7447,group_km_5
7455,group_km_99
7458,group_km_56
7461,group_km_35
7462,group_km_27
7480,group_km_44
7492,group_km_27
7494,group_km_7
7497,group_km_7
7499,group_km_7
7504,group_km_35
7521,group_km_95
7539,group_km_12
7551,group_km_66
7559,group_km_87
7562,group_km_48
7575,group_km_52
7581,group_km_95
7592,group_km_69
7606,group_km_75
7612,group_km_93
7613,group_km_32
7621,group_km_44
7630,group_km_45
7631,group_km_27
7639,group_km_52
7643,group_km_53
7648,group_km_75
7654,group_km_48
7656,group_km_11
7662,group_km_72
7666,group_km_38
7687,group_km_27
7693,group_km_48
7702,group_km_95
7714,group_km_99
7719,group_km_44
7720,group_km_70
7729,group_km_48
7731,group_km_38
7732,group_km_52
7736,group_km_75
7737,group_km_67
7756,group_km_78
7774,group_km_34
7775,group_km_59
7776,group_km_27
7779,group_km_44
7783,group_km_35
7784,group_km_53
7790,group_km_19
7804,group_km_47
7805,group_km_57
7822,group_km_44
7830,group_km_92
7840,group_km_7
7848,group_km_19
7849,group_km_9
7850,group_km_47
7852,group_km_19
7853,group_km_9
7854,group_km_35
7859,group_km_83
7875,group_km_27
7883,group_km_75
7894,group_km_9
7901,group_km_95
7902,group_km_27
7904,group_km_7
7921,group_km_6
7931,group_km_75
7940,group_km_6
7951,group_km_19
7953,group_km_51
7955,group_km_59
7975,group_km_52
7981,group_km_16
7985,group_km_19
7989,group_km_9
7993,group_km_67
7999,group_km_35
8019,group_km_89
8028,group_km_35
8029,group_km_20
8033,group_km_6
8042,group_km_79
8055,group_km_63
8076,group_km_89
8077,group_km_16
8096,group_km_38
8097,group_km_38
8105,group_km_59
8113,group_km_32
8114,group_km_52
8135,group_km_27
8143,group_km_89
8148,group_km_16
8160,group_km_13
8165,group_km_14
8166,group_km_23
8170,group_km_20
8183,group_km_16
8184,group_km_44
8191,group_km_97
8199,group_km_27
8203,group_km_27
8218,group_km_27
8228,group_km_27
8233,group_km_61
8235,group_km_61
8238,group_km_27
8239,group_km_75
8243,group_km_91
8244,group_km_27
8247,group_km_78
8249,group_km_27
8250,group_km_2
8252,group_km_6
8260,group_km_63
8265,group_km_44
8268,group_km_95
8273,group_km_27
8279,group_km_75
8280,group_km_6
8284,group_km_20
8286,group_km_78
8294,group_km_44
8306,group_km_68
8310,group_km_91
8318,group_km_99
8323,group_km_27
8326,group_km_85
8353,group_km_35
8368,group_km_61
8377,group_km_27
8378,group_km_51
8385,group_km_32
8387,group_km_23
8388,group_km_49
8390,group_km_27
8394,group_km_59
8403,group_km_27
8407,group_km_52
8408,group_km_13
8410,group_km_95
8416,group_km_59
8425,group_km_59
8433,group_km_48
8442,group_km_52
8472,group_km_52
8476,group_km_52
8495,group_km_87
8502,group_km_4
8507,group_km_27
8527,group_km_75
8546,group_km_66
8552,group_km_19
8557,group_km_5
8562,group_km_44
8573,group_km_19
8574,group_km_20
8587,group_km_35
8595,group_km_75
8602,group_km_44
8616,group_km_78
8617,group_km_44
8618,group_km_14
8627,group_km_57
8628,group_km_27
8632,group_km_63
8645,group_km_20
8648,group_km_78
8660,group_km_2
8666,group_km_67
8676,group_km_27
8680,group_km_16
8681,group_km_75
8693,group_km_35
8696,group_km_6
8703,group_km_95
8711,group_km_48
8724,group_km_95
8759,group_km_57
8769,group_km_5
8770,group_km_95
8784,group_km_7
8789,group_km_89
8791,group_km_7
8792,group_km_35
8794,group_km_91
8800,group_km_27
8801,group_km_75
8810,group_km_3
8811,group_km_27
8813,group_km_26
8820,group_km_27
8821,group_km_71
8833,group_km_27
8847,group_km_87
8848,group_km_59
8852,group_km_35
8861,group_km_59
8866,group_km_52
8877,group_km_27
8878,group_km_49
8879,group_km_49
8883,group_km_75
8887,group_km_35
8888,group_km_89
8891,group_km_44
8901,group_km_7
8909,group_km_16
8916,group_km_19
8933,group_km_68
8934,group_km_38
8939,group_km_35
8944,group_km_67
8948,group_km_4
8970,group_km_59
8974,group_km_5
8982,group_km_9
8989,group_km_27
8999,group_km_32
9003,group_km_78
9010,group_km_63
9011,group_km_90
9030,group_km_15
9031,group_km_45
9032,group_km_87
9033,group_km_90
9034,group_km_27
9036,group_km_30
9050,group_km_27
9064,group_km_86
9070,group_km_59
9074,group_km_27
9088,group_km_68
9103,group_km_65
9107,group_km_84
9109,group_km_51
9112,group_km_57
9127,group_km_27
9142,group_km_27
9147,group_km_8
9152,group_km_27
9159,group_km_59
9168,group_km_16
9176,group_km_89
9183,group_km_95
9194,group_km_16
9204,group_km_68
9205,group_km_87
9210,group_km_87
9213,group_km_90
9223,group_km_6
9229,group_km_24
9235,group_km_27
9253,group_km_16
9256,group_km_35
9264,group_km_27
9266,group_km_19
9267,group_km_9
9272,group_km_11
9282,group_km_89
9290,group_km_27
9296,group_km_5
9311,group_km_27
9315,group_km_3
9327,group_km_87
9345,group_km_47
9347,group_km_14
9369,group_km_75
9371,group_km_8
9375,group_km_65
9379,group_km_57
9380,group_km_27
9400,group_km_52
9418,group_km_52
9424,group_km_38
9426,group_km_56
9453,group_km_35
9459,group_km_90
9466,group_km_75
9467,group_km_42
9468,group_km_63
9471,group_km_27
9474,group_km_25
9477,group_km_35
9478,group_km_59
9480,group_km_49
9506,group_km_16
9510,group_km_27
9522,group_km_89
9528,group_km_4
9530,group_km_78
9536,group_km_51
9540,group_km_20
9544,group_km_27
9545,group_km_65
9554,group_km_6
9555,group_km_27
9559,group_km_78
9568,group_km_16
9572,group_km_32
9583,group_km_69
9590,group_km_48
9591,group_km_49
9593,group_km_49
9594,group_km_75
9601,group_km_4
9620,group_km_27
9622,group_km_78
9624,group_km_68
9634,group_km_5
9635,group_km_57
9642,group_km_16
9647,group_km_40
9648,group_km_69
9650,group_km_27
9664,group_km_35
9670,group_km_27
9672,group_km_48
9675,group_km_27
9683,group_km_87
9690,group_km_6
9693,group_km_47
9694,group_km_6
9696,group_km_44
9697,group_km_95
9702,group_km_24
9706,group_km_27
9723,group_km_6
9726,group_km_27
9739,group_km_89
9740,group_km_52
9748,group_km_68
9784,group_km_24
9791,group_km_91
9800,group_km_91
9802,group_km_27
9809,group_km_52
9817,group_km_63
9818,group_km_71
9825,group_km_95
9872,group_km_78
9887,group_km_41
9900,group_km_78
9901,group_km_27
9905,group_km_27
9906,group_km_48
9912,group_km_27
9916,group_km_78
9918,group_km_27
9926,group_km_27
9927,group_km_74
9932,group_km_5
9933,group_km_26
9947,group_km_35
9960,group_km_7
9963,group_km_65
9965,group_km_68
9972,group_km_15
9976,group_km_63
9986,group_km_5
9992,group_km_20
9993,group_km_24
9994,group_km_6
10001,group_km_16
10010,group_km_89
10012,group_km_29
10013,group_km_27
10041,group_km_87
10043,group_km_14
10047,group_km_40
10050,group_km_73
10056,group_km_59
10058,group_km_60
10059,group_km_27
10060,group_km_14
10075,group_km_65
10108,group_km_73
10131,group_km_19
10146,group_km_32
10150,group_km_75
10163,group_km_27
10170,group_km_78
10173,group_km_78
10178,group_km_78
10181,group_km_47
10185,group_km_59
10186,group_km_78
10189,group_km_61
10202,group_km_57
10204,group_km_78
10208,group_km_56
10212,group_km_50
10222,group_km_65
10229,group_km_26
10238,group_km_77
10249,group_km_69
10250,group_km_60
10287,group_km_68
10291,group_km_16
10292,group_km_35
10293,group_km_78
10294,group_km_27
10306,group_km_43
10307,group_km_14
10309,group_km_68
10315,group_km_75
10322,group_km_90
10323,group_km_59
10334,group_km_86
10337,group_km_35
10340,group_km_35
10342,group_km_6
10353,group_km_69
10354,group_km_14
10355,group_km_27
10373,group_km_78
10379,group_km_26
10394,group_km_44
10396,group_km_68
10412,group_km_60
10417,group_km_9
10420,group_km_35
10423,group_km_6
10426,group_km_16
10429,group_km_44
10436,group_km_22
10438,group_km_16
10460,group_km_65
10468,group_km_16
10478,group_km_27
10486,group_km_44
10490,group_km_35
10502,group_km_29
10503,group_km_86
10504,group_km_44
10507,group_km_24
10513,group_km_60
10514,group_km_16
10526,group_km_78
10539,group_km_27
10541,group_km_79
10543,group_km_69
10545,group_km_35
10564,group_km_68
10584,group_km_27
10600,group_km_52
10612,group_km_75
10622,group_km_16
10630,group_km_65
10637,group_km_27
10642,group_km_35
10656,group_km_27
10658,group_km_27
10659,group_km_75
10670,group_km_19
10678,group_km_27
10687,group_km_68
10702,group_km_44
10705,group_km_56
10712,group_km_68
10733,group_km_68
10744,group_km_73
10751,group_km_75
10752,group_km_44
10756,group_km_16
10766,group_km_60
10770,group_km_6
10776,group_km_27
10778,group_km_63
10796,group_km_46
10800,group_km_20
10804,group_km_43
10806,group_km_95
10810,group_km_35
10812,group_km_90
10814,group_km_27
10819,group_km_51
10835,group_km_51
10843,group_km_23
10848,group_km_27
10864,group_km_35
10866,group_km_65
10878,group_km_99
10888,group_km_20
10897,group_km_45
10924,group_km_52
10925,group_km_27
10931,group_km_65
10942,group_km_14
10948,group_km_79
10949,group_km_75
10953,group_km_35
10956,group_km_45
10959,group_km_78
10963,group_km_6
10971,group_km_48
10974,group_km_48
10975,group_km_76
10976,group_km_86
10977,group_km_94
10987,group_km_87
10989,group_km_24
10994,group_km_86
10995,group_km_18
11011,group_km_6
11013,group_km_86
11017,group_km_44
11024,group_km_99
11030,group_km_86
11035,group_km_86
11044,group_km_81
11061,group_km_86
11062,group_km_48
11074,group_km_60
11084,group_km_6
11087,group_km_63
11094,group_km_27
11097,group_km_27
11110,group_km_27
11111,group_km_86
11117,group_km_69
11118,group_km_20
11120,group_km_75
11121,group_km_84
11123,group_km_99
11126,group_km_47
11128,group_km_78
11129,group_km_74
11141,group_km_44
11146,group_km_6
11155,group_km_75
11156,group_km_26
11157,group_km_86
11162,group_km_27
11166,group_km_69
11172,group_km_9
11173,group_km_78
11177,group_km_20
11178,group_km_35
11182,group_km_75
11184,group_km_75
11200,group_km_65
11202,group_km_27
11212,group_km_97
11228,group_km_27
11229,group_km_27
11233,group_km_69
11243,group_km_73
11253,group_km_16
11261,group_km_86
11263,group_km_35
11274,group_km_35
11276,group_km_35
11277,group_km_27
11279,group_km_78
11281,group_km_32
11290,group_km_35
11293,group_km_78
11299,group_km_89
11311,group_km_27
11317,group_km_27
